collected_at,search_id,signature,provider,kind,status,out_date,back_date,from_airport,to_airport,carrier,fare_brand,fare,bag_cost,true_total,stops,dep_local,arr_local,duration_min,bags_included_pp,deep_link
2026-09-06T17:20:44.580Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2108,0,2108,0,14:30,19:05,575,1,
2026-09-06T17:20:44.580Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2348,0,2348,0,10:45,15:15,570,1,
2026-09-06T17:20:44.580Z,A3,2027-08-11|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,2884,0,2884,0,12:30,16:50,560,1,
2026-09-06T17:20:44.580Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2096,0,2096,0,14:30,19:05,575,1,
2026-09-06T17:20:44.580Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2456,0,2456,0,10:45,15:15,570,1,
2026-09-06T17:20:44.580Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,ok,2027-08-12,2027-08-19,,,BA,,2228,0,2228,0,12:30,16:50,560,1,
2026-09-06T17:20:44.580Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2024,0,2024,1,07:50,16:20,810,1,
2026-09-06T17:20:44.580Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2024,0,2024,1,06:15,16:20,905,1,
2026-09-06T17:20:44.580Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,2344,0,2344,0,14:30,19:05,575,1,
2026-09-06T17:20:44.580Z,O1,2027-08-11|LON>MCO,british_airways,one_way,ok,2027-08-11,,,,BA,,4348,0,4348,0,10:45,15:15,570,1,
2026-09-06T17:20:44.580Z,O2,2027-08-11|LON>TPA,british_airways,one_way,ok,2027-08-11,,,,BA,,5052,0,5052,0,12:30,16:50,560,1,
2026-09-06T17:20:44.580Z,O3,2027-08-12|LON>MCO,british_airways,one_way,ok,2027-08-12,,,,BA,,2536,0,2536,0,14:30,19:05,575,1,
2026-09-06T17:20:44.580Z,O3,2027-08-12|LON>MCO,british_airways,one_way,ok,2027-08-12,,,,BA,,4348,0,4348,0,10:45,15:15,570,1,
2026-09-06T17:20:44.580Z,O4,2027-08-12|LON>TPA,british_airways,one_way,ok,2027-08-12,,,,BA,,2468,0,2468,0,12:30,16:50,560,1,
